delta_mu_h_ev,gamma_C100_j_m2,gamma_C110_j_m2,gamma_C111_j_m2,most_stable,ordering,all_positive,wulff_defined
2.5,6.325142537008232,8.04769222806943,6.269643142034302,C111,C111 < C100 < C110,True,True
2.5250000000000004,6.387892734099391,8.136434407912526,6.342100828315341,C111,C111 < C100 < C110,True,True
2.5500000000000003,6.450642931190549,8.225176587755621,6.414558514596378,C111,C111 < C100 < C110,True,True
2.575,6.513393128281706,8.313918767598716,6.487016200877417,C111,C111 < C100 < C110,True,True
2.6,6.576143325372864,8.402660947441811,6.559473887158454,C111,C111 < C100 < C110,True,True
2.625,6.638893522464021,8.491403127284906,6.631931573439492,C111,C111 < C100 < C110,True,True
2.6500000000000004,6.70164371955518,8.580145307128003,6.704389259720531,C100,C100 < C111 < C110,True,True
2.6750000000000003,6.764393916646338,8.668887486971098,6.776846946001569,C100,C100 < C111 < C110,True,True
2.7,6.8271441137374955,8.757629666814193,6.849304632282607,C100,C100 < C111 < C110,True,True
2.725,6.889894310828653,8.846371846657288,6.921762318563644,C100,C100 < C111 < C110,True,True
2.75,6.9526445079198105,8.935114026500385,6.994220004844681,C100,C100 < C111 < C110,True,True
2.7750000000000004,7.015394705010969,9.02385620634348,7.0666776911257205,C100,C100 < C111 < C110,True,True
2.8000000000000003,7.078144902102127,9.112598386186576,7.139135377406758,C100,C100 < C111 < C110,True,True
2.825,7.140895099193284,9.201340566029671,7.211593063687797,C100,C100 < C111 < C110,True,True
2.85,7.203645296284442,9.290082745872766,7.284050749968834,C100,C100 < C111 < C110,True,True
2.875,7.2663954933756,9.378824925715861,7.356508436249872,C100,C100 < C111 < C110,True,True
2.9000000000000004,7.329145690466758,9.467567105558958,7.428966122530911,C100,C100 < C111 < C110,True,True
2.9250000000000003,7.391895887557916,9.556309285402053,7.501423808811948,C100,C100 < C111 < C110,True,True
2.95,7.454646084649074,9.645051465245148,7.573881495092987,C100,C100 < C111 < C110,True,True
2.975,7.517396281740231,9.733793645088243,7.6463391813740245,C100,C100 < C111 < C110,True,True
3.0,7.580146478831389,9.822535824931338,7.718796867655062,C100,C100 < C111 < C110,True,True
